ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
0001-8244,BEHAVIOR GENETICS,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0001-8392,ADMINISTRATIVE SCIENCE QUARTERLY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1,2017-2020
0001-8678,ADVANCES IN APPLIED PROBABILITY,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A4,2017-2020
0001-8686,ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT),CIÊNCIA DE ALIMENTOS,A1,2017-2020
0001-8708,ADVANCES IN MATHEMATICS (NEW YORK),CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0001-8791,JOURNAL OF VOCATIONAL BEHAVIOR (PRINT),PSICOLOGIA,A1,2017-2020
0001-9054,AEQUATIONES MATHEMATICAE (PRINT),MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A3,2017-2020
0001-9240,AERONAUTICAL JOURNAL (1968),CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,A4,2017-2020
0001-9704,AFINIDAD (BARCELONA),CIÊNCIA DE ALIMENTOS,B3,2017-2020
0001-9933,AFRICAN ARTS,HISTÓRIA,A4,2017-2020
0002-0184,AFRICAN STUDIES (JOHANNESBURG),LINGUíSTICA E LITERATURA,A1,2017-2020
0002-0206,AFRICAN STUDIES REVIEW,LINGUíSTICA E LITERATURA,A1,2017-2020
0002-0591,AFRO-ASIA (UFBA. IMPRESSO),DIREITO,A1,2017-2020
0002-0729,AGE AND AGEING,INTERDISCIPLINAR,A1,2017-2020
0002-1466,AGRICULTURAL FINANCE REVIEW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3,2017-2020
0002-161X,AGRICULTURAL RESEARCH (WASHINGTON),CIÊNCIAS AGRÁRIAS I,B4,2017-2020
0002-1857,AGROCHIMICA (PISA),CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
0002-1962,AGRONOMY JOURNAL (PRINT),CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0002-2667,AIRCRAFT ENGINEERING (CESSOU EM 1986. CONT. ISSN 1748-8842 AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY),INTERDISCIPLINAR,B3,2017-2020
0002-5100,ALDRICHIMICA ACTA,CIÊNCIAS AGRÁRIAS I,A1,2017-2020
0002-5151,ALERGIA (MÉXICO),SAÚDE COLETIVA,B3,2017-2020
0002-5216,ALFA: REVISTA DE LINGUÍSTICA (SÃO JOSÉ DO RIO PRETO),LINGUíSTICA E LITERATURA,A1,2017-2020
0002-5232,ALGEBRA AND LOGIC,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B1,2017-2020
0002-5240,ALGEBRA UNIVERSALIS (PRINTED ED.),CIÊNCIA DA COMPUTAÇÃO,B1,2017-2020
0002-5852,ALLGEMEINE FORST- UND JAGDZEITUNG,CIÊNCIAS AGRÁRIAS I,B4,2017-2020
0002-7014,AMEGHINIANA,MEDICINA II,A4,2017-2020
0002-7162,THE ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,INTERDISCIPLINAR,A1,2017-2020
0002-7189,JOURNAL OF THE AMERICAN ACADEMY OF RELIGION,SOCIOLOGIA,A2,2017-2020
0002-7294,AMERICAN ANTHROPOLOGIST,INTERDISCIPLINAR,A1,2017-2020
0002-7685,THE AMERICAN BIOLOGY TEACHER,CIÊNCIAS AGRÁRIAS I,B2,2017-2020
0002-7812,AMERICAN CERAMIC SOCIETY BULLETIN,ENGENHARIAS II,B1,2017-2020
0002-7820,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,INTERDISCIPLINAR,A1,2017-2020
0002-7863,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,INTERDISCIPLINAR,A1,2017-2020
0002-8045,BULLETIN OF THE AMERICAN COLLEGE OF SURGEONS,SAÚDE COLETIVA,B2,2017-2020
0002-8177,THE JOURNAL OF THE AMERICAN DENTAL ASSOCIATION (1939),ODONTOLOGIA,A1,2017-2020
0002-8282,AMERICAN ECONOMIC REVIEW,ECONOMIA,A1,2017-2020
0002-8320,TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY (1890),BIODIVERSIDADE,B3,2017-2020
0002-838X,AMERICAN FAMILY PHYSICIAN (1970),SAÚDE COLETIVA,A1,2017-2020
0002-8444,AMERICAN FERN JOURNAL,CIÊNCIAS AGRÁRIAS I,B1,2017-2020
0002-8487,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY (1900),BIODIVERSIDADE,A4,2017-2020
0002-8614,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,ODONTOLOGIA,A1,2017-2020
0002-8703,THE AMERICAN HEART JOURNAL,EDUCAÇÃO FÍSICA,A2,2017-2020
0002-8762,THE AMERICAN HISTORICAL REVIEW,HISTÓRIA,A1,2017-2020
0002-9092,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,ECONOMIA,A1,2017-2020
0002-9114,AMERICAN JOURNAL OF ARCHAEOLOGY,ANTROPOLOGIA / ARQUEOLOGIA,A4,2017-2020
0002-9122,AMERICAN JOURNAL OF BOTANY,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0002-9149,THE AMERICAN JOURNAL OF CARDIOLOGY,EDUCAÇÃO FÍSICA,A2,2017-2020
0002-9165,THE AMERICAN JOURNAL OF CLINICAL NUTRITION,CIÊNCIAS BIOLÓGICAS III,A1,2017-2020
0002-9173,AMERICAN JOURNAL OF CINICAL PATHOLOGY,SAÚDE COLETIVA,A3,2017-2020
0002-9246,AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,INTERDISCIPLINAR,B1,2017-2020
0002-9254,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,MEDICINA VETERINÁRIA,A2,2017-2020
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,NUTRIÇÃO,A1,2017-2020
0002-9270,THE AMERICAN JOURNAL OF GASTROENTEROLOGY,CIÊNCIAS BIOLÓGICAS I,A1,2017-2020
0002-9297,AMERICAN JOURNAL OF HUMAN GENETICS,MEDICINA I,A1,2017-2020
0002-9327,AMERICAN JOURNAL OF MATHEMATICS (PRINT),MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A1,2017-2020
0002-9343,THE AMERICAN JOURNAL OF MEDICINE,INTERDISCIPLINAR,A1,2017-2020
0002-9378,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT),NUTRIÇÃO,A1,2017-2020
0002-9394,AMERICAN JOURNAL OF OPHTHALMOLOGY,INTERDISCIPLINAR,A1,2017-2020
0002-9416,AMERICAN JOURNAL OF ORTHODONTICS,ENGENHARIAS IV,A1,2017-2020
0002-9440,THE AMERICAN JOURNAL OF PATHOLOGY (PRINT),INTERDISCIPLINAR,A1,2017-2020
0002-9459,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,FARMÁCIA,A2,2017-2020
0002-9483,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,INTERDISCIPLINAR,A1,2017-2020
0002-9505,AMERICAN JOURNAL OF PHYSICS,INTERDISCIPLINAR,A3,2017-2020
0002-9513,THE AMERICAN JOURNAL OF PHYSIOLOGY,MEDICINA I,C,2017-2020
0002-953X,THE AMERICAN JOURNAL OF PSYCHIATRY,INTERDISCIPLINAR,A1,2017-2020
0002-9548,THE AMERICAN JOURNAL OF PSYCHOANALYSIS,INTERDISCIPLINAR,A2,2017-2020
