referencia,coordenador,financiadora,tipo,ano,aprovado,executado,pesquisa
299 - Desenvolvimento de um Estimador de Estado de Saúde de ,Tiago Reinan Barreto de Oliveira,Brametal S/A,"Pesquisa, Desenvolvimento e Inovação",2024,374887.25,287578.76,True
300 - Avaliação dos Efeitos do Desastre Natural Decorrente d,CECILIA CRONEMBERGER DE FARIA,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE - ICMBio,"Pesquisa, Ensino e Extensão",2024,10879000.0,3543374.48,True
302 - Desenvolvimento de Ações Estratégicas para o Fortaleci,Marcelo Queiroz Schimidt,"Ministério da Ciência, Tecnologia e Inovações - MCTI",Inovação,2024,700000.0,669159.17,True
"306 - Acesso, Permanência e Êxito na Rede Federal de Educaçã",Carla Comerlato Jardim,Ministério da Educação - MEC,"Pesquisa, Desenvolvimento e Inovação",2024,3800000.0,2393266.9,True
308 - Exame de proficiência em língua inglesa - EPLI24,Wagner Eduardo Rodrigues Belo,Ministério da Educação - MEC,"Pesquisa, Desenvolvimento e Inovação",2024,3743000.0,946000.51,True
310 - Cultura Maker em Cariacica: uma proposta de difusão - ,Michel Bruno Taffner,Vale S.A.,Inovação,2025,179004.43,501679.8,True
312 - COMPED PIÚMA 2025,SILVIO JOSÉ TRINDADE ALVIM,Instituto Federal de Educação Ciência e Tecnologia do Espirito Santo - Campus Piuma,Processo Seletivo,2025,17943.15,0.0,False
313 - Estruturação dos Processos Institucionais do Hub de In,Everson Scherrer Borges,Instituto Federal do Espírito Santo (IFES) do Campus Cachoeiro de Itapemirim,Inovação,2024,2120750.0,181349.58,True
314 - Centros de Excelência na Gestão Energética e na Sideru,Danilo de Paula e Silva,Financiadora de Estudos e Projetos - Finep,Pesquisa,2024,6814929.06,4169872.42,True
315 - Planejamento e Gestão da implementação do Plano Direto,Guilherme Marques Fiorot,Ministério da Educação - MEC,"Pesquisa, Desenvolvimento e Inovação",2025,3780000.0,717446.26,True
321 - Agentes Territoriais de Cultura - São Paulo (EMBRAPRO),Thiago Rodrigues Schulze,Ministério da Cultura,Extensão,2025,800000.0,0.0,False
322 - Implantação do Canteiro Modelo de Conservação do Conve,ROBSON SILVA RIBEIRO,Instituto do Patrimônio Histórico e Artístico Nacional,Extensão,2024,1031729.49,0.0,False
323 - Operacionalização da produção de bioinsumos on farm pa,Marcela Pavan Bagagli,Ministério do Desenvolvimento Agrário e Agricultura Familiar,Extensão,2025,2902876.02,0.0,False
333 - Termo de Execução Descentralizada - CAPES-PROFEPT,Pollyana Santos,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - CAPES,Ensino,2024,3879991.2,0.0,False
334 - Produção de hidrogênio verde a partir de eletrocatalis,Pedro Vitor Morbach Dixini,Banco do Nordeste do Brasil S/A,Pesquisa,2025,998766.35,358609.59,True
335 - PS GRADUAÇÃO 2026,Moramey Regattieri de Souza,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2025,1011393.81,0.0,False
336 - PS TÉCNICO 2026,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2025,2491169.8,0.0,False
337 - Projeto de Educação Ambiental Redes de Cidadania Eixo ,Marcelo Fanttini Polese,Petróleo Brasileiro S.A. UN-ES - SEDE VITÓRIA,Extensão,2025,49922965.9,0.0,False
338 - Profissionais do Amanhã: Capacitação Técnica em Químic,EDUARDA DE BIASE FERRARI GOMES,Samarco Mineração S.A - Em recuperação Judicial,Extensão,2025,1792615.0,0.0,False
341 - Apoio ao desenvolvimento de projetos de Indicação Geog,CHRISTIAN MARIANI LUCAS DOS SANTOS,Ministério da Educação - MEC,Inovação,2025,4000000.0,1513427.24,True
342 - Sensor inteligente para determinação do estado de oxid,Wanderson Romão,Petróleo Brasileiro S.A. - PETROBRAS,"Pesquisa, Desenvolvimento e Inovação",2025,3614957.35,1004285.64,True
343 - Parque Tecnológico Cidade da Inovação,Douglas Almonfrey,Financiadora de Estudos e Projetos - Finep,"Pesquisa, Desenvolvimento e Inovação",2025,14881530.89,469045.89,True
344 - CONAB - Capacitação de Agricultores IFSP (EMBRAPRO),Rafael Alves Scarazzati,Companhia Nacional de Abastecimento - CONAB,Extensão,2025,7000000.0,0.0,False
345 - Concurso Público IFES 2025,Graziani Mendonça Peixoto,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Concurso Público,2025,712511.0,0.0,False
347 - ESTUDO DO REPOSICIONAMENTO DAS LANÇAS KT DO FORNO CONS,JOSE ROBERTO DE OLIVEIRA,Vallourec Soluções Tubulares do Brasil S.A,"Pesquisa, Desenvolvimento e Inovação",2025,106600.0,46573.89,True
348 - Capacitação Profissional Introdução à Implantação de I,Marcos Aloízio França da Fonseca,Porto Central Complexo Industrial Portuário AS,"Pesquisa, Desenvolvimento e Inovação",2025,48000.0,36524.35,True
350 - INCRA - Desenvolvimento Rural Sustentável e Valorizaçã,Leylah Marques,Instituto Nacional de Colonização e Reforma Agrária (INCRA),Extensão,2025,1400000.0,0.0,False
351 - Produção de material de divulgação - Audiovisual,FÁBIO LUÍS CABRAL,Ministério da Educação - MEC,Ensino,2025,334770.0,0.0,False
352 - Caracterização e ensaios de desgaste microabrasivo de ,Adonias Ribeiro Franco Junior,Arcelormittal Brasil S.A,"Pesquisa, Desenvolvimento e Inovação",2025,232623.2,37087.63,True
353 - Projeto Implantação de Espaço Maker no Complexo Penite,Michel Bruno Taffner,Arcelormittal Brasil S.A,Extensão,2025,133129.93,0.0,False
354 - Recuperação de conhecimento em documentos com conteúdo,Thiago Meireles Paixao,INTELLIWAY TECNOLOGIA LTDA,"Pesquisa, Desenvolvimento e Inovação",2025,108000.0,33332.01,True
355 - PROFEPT 2025,DANIELLE PIONTKOVSKY,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2025,890133.36,0.0,False
356 - Otimização e Inovação na Gestão de Instrumentos de Rep,Bruno Nogueira Luz,Ministério da Integração e do Desenvolvimento Regional - MDIR,Pesquisa,2025,13600000.0,4153504.42,True
357 - Cultura Maker em Cariacica: uma proposta de difusão - ,Michel Bruno Taffner,Vale S.A.,Extensão,2025,110000.0,0.0,False
358 - 6° Teia Nacional - Pontos de Cultura pela Justiça Clim,Robson Malacarne,Ministério da Cultura - MinC,Extensão,2025,6332319.58,0.0,False
359 - Abordagens metabolômicas e quimiométricas para autenti,MURILO DE OLIVEIRA SOUZA,Embrapa/Sct,"Pesquisa, Desenvolvimento e Inovação",2025,523762.0,19585.53,True
360 - PS SISU 2026,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2025,398477.53,0.0,False
361 - Projeto De Formação De Agentes Territoriais De Cultura,FERNANDA FERREIRA CAMARGO DELGADO,Ministério da Cultura - MinC,Extensão,2025,4123652.5,0.0,False
362 - FRESTA - Centro de Gestão Integrada de Saberes e Terri,PATRICIA GUIMARAES PINTO,MINISTÉRIO DA EDUCAÇÃO,Extensão,2025,300000.0,0.0,False
