cenario,gini,descricao
base_todos,0.771,todos os coordenadores (inclui institucionais)
sem_institucionais,0.748,remove UnAC + ConectaFapes (mantém coords com 0)
sem_institucionais_pos,0.742,só coords com fomento de pesquisa > 0
